时间(s),X坐标(m),Y坐标(m)
445.1,53.9477826672067,-0.3562832605978345
445.2,53.842504227093585,-0.2951711592599671
445.3,53.75594730125874,-0.18064102070654697
445.4,53.64379310994377,-0.11392674028694892
445.5,53.49461052069178,-0.12255344256128808
445.6,53.35077783445576,-0.11291974196842246
445.7,53.09923189896021,-0.06938450883211764
445.8,52.88645621611126,0.04649171890500715
445.9,52.76603650452714,0.1418828114704733
446.0,52.71889426082114,0.20594950723931946
446.1,52.69461739372363,0.2702588522190151
446.2,52.65735989109301,0.3369525611388529
446.3,52.59544092941921,0.3694159850249851
446.4,52.5444000543801,0.3990005188220573
446.5,52.55551190697652,0.5214481477552922
446.6,52.63419245113858,0.7268333255601273
446.7,52.74149440296684,0.9153419438476372
446.8,52.83164528316171,1.0692230223299097
446.9,52.85036043925543,1.2556202968961812
447.0,52.81996025361725,1.4274301969917438
447.1,52.801850931373686,1.517462648747571
447.2,52.78191930069802,1.5647737397993964
447.3,52.760029996010026,1.6066035033656243
447.4,52.733973451204264,1.6202256233091794
447.5,52.66046438921835,1.5411982595235854
447.6,52.54177146185105,1.3704514889113215
447.7,52.40233618037268,1.1718183323547469
447.8,52.28142406580496,0.9661665551316386
447.9,52.22498505677971,0.7272240982592416
448.0,52.23406920138795,0.4565724404872173
448.1,52.25667077672811,0.2396385591768029
448.2,52.25542039040638,0.08153906005408638
448.3,52.25783491997129,-0.09139632191918762
448.4,52.29496578217776,-0.27213761906571504
448.5,52.38626233513837,-0.4132721281259297
448.6,52.529137150656055,-0.48669057897799634
448.7,52.695741469918765,-0.5135832669488773
448.8,52.885228197793936,-0.5292708535949723
448.9,53.0714888243039,-0.5387216886563514
449.0,53.17538545647303,-0.4902152057430074
449.1,53.17736136737232,-0.37114197118457143
449.2,53.147665050134314,-0.21303563555542834
449.3,53.13383865701276,0.009039860913300564
449.4,53.144617182532436,0.2816335527805587
449.5,53.16916442859236,0.549133850984703
449.6,53.180586505501076,0.7774820614130049
449.7,53.17731952939817,0.9460155421968188
449.8,53.15093475097031,1.0413587738032892
449.9,53.082049751202725,1.079557399275896
450.0,52.97741330307284,1.1025318339310357
450.1,52.90536768282925,1.0791671806205405
450.2,52.92444238362891,0.9933605013505834
450.3,52.98612138974765,0.8746973554735608
450.4,53.02153086989575,0.7245767088367505
450.5,53.01004059403897,0.5711347905832426
450.6,52.961342605101066,0.4243916124385329
450.7,52.90169277476891,0.2929825275423943
450.8,52.83026673716761,0.23415165560010098
450.9,52.75416147616402,0.28167353365332326
451.0,52.738665174187986,0.4195815295982166
451.1,52.802627599574244,0.6059992871787582
451.2,52.90697791492294,0.7998329120776614
451.3,53.0095093299557,0.9769193801542067
451.4,53.108098820919444,1.1620080361991634
451.5,53.24338224967203,1.3839988177039093
451.6,53.38771433547882,1.6266457321777261
