时间(s),X坐标(m),Y坐标(m)
467.8358000003,53.41403253,-1.337067207
468.0358000003,48.47671881,0.086572327
468.2358000003,47.28500416,-0.20647172
468.4358000003,58.66118415,-1.805144177
468.6358000003,54.43088978,-3.643518713
468.8358000003,49.82987611,0.741888315
469.0358000003,54.11248046,-0.27265554
469.2358000003,50.57711839,0.025290258
469.4358000003,50.8539704,-3.761791032
469.6358000003,47.33934546,-1.758615771
469.8358000003,51.2814396,4.527606088
470.0358000003,51.88798418,0.468506626
470.2358000003,50.89716218,-1.920830685
470.4358000003,49.02342545,0.615205234
470.6358000003,53.42761119,2.400826465
470.8358000003,47.77392224,-1.569308382
471.0358000003,53.3843451,0.659167921
471.2358000003,46.71972902,2.138758846
471.4358000003,44.61371075,-2.661872496
471.6358000003,43.35687365,2.612132856
471.8358000003,41.43135926,-2.227416126
472.0358000003,45.77597936,-1.159994385
472.2358000003,40.28655337,-1.111668682
472.4358000003,37.0680833,1.014170141
472.6358000003,41.10203968,1.450413112
472.8358000003,41.03184435,-1.04342892
473.0358000003,40.58146195,-5.508951732
473.2358000003,42.05409804,-4.319406075
473.4358000003,33.99206644,3.730079978
473.6358000003,38.07462133,-1.152529162
473.8358000003,37.48487977,4.737299936
474.0358000003,35.88860129,-3.993353664
474.2358000003,39.54217311,1.341900969
474.4358000003,38.61441364,0.403947241
474.6358000003,34.03575594,-0.482732387
474.8358000003,35.16073169,-1.53164103
475.0358000003,34.67790455,-1.37117368
475.2358000003,28.26933285,3.371398944
475.4358000003,31.97872377,-2.671587175
475.6358000003,28.92491906,4.656958065
475.8358000003,28.02788878,3.724326927
476.0358000003,30.3555228,1.668200453
476.2358000003,32.19929479,0.198081574
476.4358000003,32.56201764,3.120592239
476.6358000003,25.70801717,0.186751086
476.8358000003,32.18070011,8.68157961
477.0358000003,23.4838692,0.206924707
477.2358000003,27.29255297,-0.753358919
477.4358000003,23.01246715,-3.378061512
477.6358000003,21.74802536,2.189299683
477.8358000003,29.80857846,2.905229139
478.0358000003,24.90603793,-0.463896315
478.2358000003,28.18196887,0.182484435
478.4358000003,29.19720221,4.519433501
478.6358000003,26.7743841,-0.461149707
478.8358000003,19.56339429,-5.185342589
479.0358000003,25.12620007,1.866733236
479.2358000003,22.89979832,3.791461492
479.4358000003,24.38270757,0.796610749
479.6358000003,23.11423239,2.600944636
479.8358000003,25.18345428,0.343424128
480.0358000003,23.53996168,4.564246563
480.2358000003,24.01624282,-2.885621588
480.4358000003,25.46534524,1.450230185
480.6358000003,20.01751672,0.677654821
480.8358000003,20.46365949,2.330635387
481.0358000003,22.49700123,4.075804501
481.2358000003,19.36612574,-0.197823022
481.4358000003,23.06513284,-1.279047391
481.6358000003,25.54743948,0.156912221
481.8358000003,18.23925821,4.124783415
482.0358000003,20.85188984,-6.431563479
482.2358000003,20.96660319,1.32497978
482.4358000003,23.16453268,-0.993196211
482.6358000003,19.42935579,0.153469749
482.8358000003,20.9442462,4.990339163
483.0358000003,19.84848384,0.327235021
483.2358000003,20.42799116,-1.551060172
483.4358000003,18.21842269,3.881496674
483.6358000003,18.67227693,-0.81566681
483.8358000003,17.98013455,-1.520658359
484.0358000003,16.47731373,4.684115103
484.2358000003,14.69499558,1.603354249
484.4358000003,15.30014224,0.925449265
484.6358000003,12.32856925,-2.906129013
484.8358000003,17.65462047,0.889050535
485.0358000003,12.16210632,2.822809472
485.2358000003,6.914137427,0.764119835
485.4358000003,8.055867054,0.135036898
485.6358000003,8.607966142,0.11665254
485.8358000003,15.19502724,-0.650921254
486.0358000003,7.881310481,-3.0979437
486.2358000003,9.228926623,1.446531455
486.4358000003,7.072441616,-2.480348093
486.6358000003,7.588572471,0.306719862
486.8358000003,8.182542576,1.789700896
487.0358000003,3.912198246,0.284744801
487.2358000003,-0.598324614,0.17048454
487.4358000003,7.260514621,1.721492363
487.6358000003,0.505845252,2.264793554
487.8358000003,6.361158093,3.13569485
488.0358000003,3.861966267,-1.964530764
488.2358000003,7.519863879,0.347378159
488.4358000003,-7.164643368,1.87450895
488.6358000003,3.348497061,-0.328896099
488.8358000003,1.056002964,-1.85793033
489.0358000003,-0.09988084,-2.233354015
489.2358000003,2.342073137,7.631945709
489.4358000003,2.877335423,1.237784044
489.6358000003,2.291646029,6.876921025
489.8358000003,4.464672608,6.015882442
490.0358000003,1.168946343,6.41854908
490.2358000003,2.160951887,2.571819085
490.4358000003,-0.355780008,3.824656826
490.6358000003,-0.582249807,7.508600356
490.8358000003,-0.557615723,3.214283446
491.0358000003,2.559463328,2.500679333
491.2358000003,-3.854417968,5.975818785
491.4358000003,3.404233963,12.49014908
491.6358000003,-2.485144054,12.63133518
491.8358000003,-3.752515469,9.613015411
492.0358000003,-6.848713949,11.62672409
492.2358000003,3.260319602,7.788485646
492.4358000003,4.366380307,7.909077501
492.6358000003,-1.287809378,7.648779945
492.8358000003,-1.986798118,6.315061493
493.0358000003,0.131148205,15.2334262
493.2358000003,-2.85694374,9.888014412
493.4358000003,2.535868724,15.23102126
493.6358000003,-2.003019162,8.304327727
493.8358000003,3.645870999,8.786218096
494.0358000003,2.364510014,11.26793973
494.2358000003,-3.931289716,9.836696508
494.4358000003,-3.460023739,10.54894936
