experiment,parameter,parameter_unit,delta_time,objective
smoothing_window,1,points,198.43200000000064,3.75086188611537e-10
smoothing_window,3,points,198.43100000000064,1.2280895317460414e-08
smoothing_window,5,points,198.43100000000064,9.308151066953399e-08
smoothing_window,7,points,198.43100000000064,3.1923998205415413e-07
coarse_step,0.5,seconds,198.43100000000206,9.308151066301053e-08
coarse_step,0.2,seconds,198.43100000000112,9.308151066728045e-08
coarse_step,0.1,seconds,198.43100000000064,9.308151066953399e-08
coarse_step,0.05,seconds,198.43100000000015,9.308151067163775e-08
