date,wind_direction_10m_dominant,wind_speed_10m_mean,weather_code
2016-08-10 00:00:00+00:00,327.44183,11.692676,3.0
2016-08-11 00:00:00+00:00,272.39322,11.182681,3.0
2016-08-12 00:00:00+00:00,281.47342,6.5302906,2.0
2016-08-13 00:00:00+00:00,344.29535,6.628943,3.0
2016-08-14 00:00:00+00:00,16.11164,10.171015,3.0
2016-08-15 00:00:00+00:00,32.207256,14.026193,0.0
2016-08-16 00:00:00+00:00,15.558669,10.763861,0.0
2016-08-17 00:00:00+00:00,353.60236,7.712347,3.0
2016-08-18 00:00:00+00:00,244.32057,6.665115,61.0
2016-08-19 00:00:00+00:00,211.75299,11.233269,55.0
2016-08-20 00:00:00+00:00,233.61552,17.211506,3.0
2016-08-21 00:00:00+00:00,261.7242,15.743674,3.0
2016-08-22 00:00:00+00:00,204.04933,7.921097,3.0
2016-08-23 00:00:00+00:00,123.25652,11.16884,0.0
2016-08-24 00:00:00+00:00,130.54955,9.1532955,0.0
2016-08-25 00:00:00+00:00,192.78796,6.2563963,2.0
2016-08-26 00:00:00+00:00,2.1015856,8.225945,3.0
2016-08-27 00:00:00+00:00,190.10498,8.078258,53.0
2016-08-28 00:00:00+00:00,249.07858,15.260877,3.0
2016-08-29 00:00:00+00:00,304.50317,11.115432,51.0
2016-08-30 00:00:00+00:00,25.044626,9.752636,3.0
2016-08-31 00:00:00+00:00,341.99283,7.994253,2.0
2016-09-01 00:00:00+00:00,334.01898,6.834155,3.0
2016-09-02 00:00:00+00:00,335.70422,6.381268,3.0
2016-09-03 00:00:00+00:00,266.13245,8.15028,3.0
2016-09-04 00:00:00+00:00,262.60046,12.2477,51.0
2016-09-05 00:00:00+00:00,253.17848,5.899915,61.0
2016-09-06 00:00:00+00:00,27.309011,5.9686623,3.0
2016-09-07 00:00:00+00:00,88.12829,9.687888,0.0
2016-09-08 00:00:00+00:00,285.51773,11.405104,1.0
2016-09-09 00:00:00+00:00,149.55452,7.2157145,0.0
2016-09-10 00:00:00+00:00,229.0171,7.9464846,3.0
